lon,lat,rental_uris,_bcycle_station_type,region_id,address,name,station_id,is_returning,is_renting,is_installed,num_docks_available,num_bikes_available,last_reported,num_bikes_available_types
-118.25854,34.0485,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3005&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3005&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,700 Flower St,7th & Flower,bcycle_lametro_3005,1,1,1,25,2,1773087552,"{'electric': 0, 'smart': 0, 'classic': 2}"
-118.25667,34.04554,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3006&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3006&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,729 S Olive Street,Olive & 8th,bcycle_lametro_3006,1,1,1,16,15,1773087552,"{'electric': 0, 'smart': 0, 'classic': 15}"
-118.25459,34.05048,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3007&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3007&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,557 S 5th Street,5th & Grand,bcycle_lametro_3007,1,1,1,15,8,1773087552,"{'electric': 0, 'smart': 0, 'classic': 8}"
-118.26273,34.04661,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3008&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3008&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,865 S Figueroa Street,Figueroa & 9th,bcycle_lametro_3008,1,1,1,7,8,1773087552,"{'electric': 0, 'smart': 0, 'classic': 8}"
-118.25487,34.03705,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3010&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3010&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,401 East 11th Street,11th & Maple,bcycle_lametro_3010,1,1,1,4,10,1773087552,"{'electric': 0, 'smart': 0, 'classic': 10}"
-118.26735,34.04157,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3011&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3011&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1259-1299 S Figueroa Street,Figueroa & 12th,bcycle_lametro_3011,1,1,1,15,4,1773087552,"{'electric': 0, 'smart': 0, 'classic': 4}"
-118.23708,34.05702,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3014&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3014&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,834 N Alameda St,Union Station West Portal,bcycle_lametro_3014,1,1,1,10,21,1773087552,"{'electric': 0, 'smart': 0, 'classic': 21}"
-118.24156,34.0529,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3016&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3016&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,201 N Los Angeles Street,Los Angeles & Temple,bcycle_lametro_3016,1,1,1,4,11,1773087552,"{'electric': 0, 'smart': 0, 'classic': 11}"
-118.26014,34.04373,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3018&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3018&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,919 S Grand Ave.,Grand & Olympic,bcycle_lametro_3018,1,1,1,6,13,1773087552,"{'electric': 0, 'smart': 0, 'classic': 13}"
-118.26086,34.03861,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3019&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3019&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,129 W 12th Street,12th & Hill,bcycle_lametro_3019,1,1,1,12,7,1773087552,"{'electric': 0, 'smart': 0, 'classic': 7}"
-118.26709,34.03105,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3020&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3020&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1950 S Hill Street,Hill & Washington,bcycle_lametro_3020,1,1,1,5,10,1773087552,"{'electric': 0, 'smart': 0, 'classic': 10}"
-118.23309,34.04607,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3022&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3022&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,999 E Third Street,3rd & Santa Fe,bcycle_lametro_3022,1,1,1,12,8,1773087552,"{'electric': 1, 'smart': 0, 'classic': 7}"
-118.24897,34.05772,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3024&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3024&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,111 N Hope St,Hope & 1st,bcycle_lametro_3024,1,1,1,9,6,1773087552,"{'electric': 1, 'smart': 0, 'classic': 5}"
-118.26808,34.03286,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3025&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3025&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1014 S Grand Ave,Grand & Washington,bcycle_lametro_3025,1,1,1,7,7,1773087552,"{'electric': 0, 'smart': 0, 'classic': 7}"
