NAME,median_income,per_capita_income,gini_index,pop_below_poverty,total_population,avg_household_size,no_vehicle_households,total_households,total_workers,transit_commuters,bike_commuters,walk_commuters,wfh_commuters,mean_travel_time,state,county,tract,pct_no_vehicle,pct_transit,pct_bike,pct_walk,pct_wfh,pct_poverty,GEOID
Census Tract 1011.10; Los Angeles County; California,68972,37602.0,0.4219,342,4014,2.52,171,1551,2043,49,0,12,106,1937,06,037,101110,11.0,2.4,0.0,0.6,5.2,8.5,06037101110
Census Tract 1011.22; Los Angeles County; California,118859,49498.0,0.4138,277,4164,3.01,8,1383,2014,9,8,0,336,1678,06,037,101122,0.6,0.4,0.4,0.0,16.7,6.7,06037101122
Census Tract 1012.20; Los Angeles County; California,65139,40042.0,0.4727,557,3481,2.58,66,1349,1665,91,0,31,115,1550,06,037,101220,4.9,5.5,0.0,1.9,6.9,16.0,06037101220
Census Tract 1012.21; Los Angeles County; California,53348,26561.0,0.4359,357,3756,2.58,269,1424,1762,47,0,0,23,1739,06,037,101221,18.9,2.7,0.0,0.0,1.3,9.5,06037101221
Census Tract 1012.22; Los Angeles County; California,36779,23183.0,0.4983,447,2808,3.03,223,928,1105,19,17,59,26,1079,06,037,101222,24.0,1.7,1.5,5.3,2.4,15.9,06037101222
Census Tract 1013; Los Angeles County; California,121490,47695.0,0.3812,246,4071,2.82,31,1425,1871,29,0,0,301,1570,06,037,101300,2.2,1.5,0.0,0.0,16.1,6.0,06037101300
Census Tract 1014; Los Angeles County; California,85945,39026.0,0.413,194,3490,2.69,200,1287,1615,21,11,0,222,1393,06,037,101400,15.5,1.3,0.7,0.0,13.7,5.6,06037101400
Census Tract 1021.03; Los Angeles County; California,65250,29930.0,0.4179,241,1834,2.73,72,671,737,10,0,26,83,654,06,037,102103,10.7,1.4,0.0,3.5,11.3,13.1,06037102103
Census Tract 1021.04; Los Angeles County; California,106250,44438.0,0.4216,207,4033,2.92,58,1304,1715,39,0,49,472,1243,06,037,102104,4.4,2.3,0.0,2.9,27.5,5.1,06037102104
Census Tract 1021.05; Los Angeles County; California,92917,40167.0,0.3999,71,1610,2.89,8,557,747,0,34,9,48,699,06,037,102105,1.4,0.0,4.6,1.2,6.4,4.4,06037102105
Census Tract 1021.07; Los Angeles County; California,97778,47137.0,0.4628,464,3577,2.74,91,1202,1546,0,0,0,136,1410,06,037,102107,7.6,0.0,0.0,0.0,8.8,13.0,06037102107
Census Tract 1031.01; Los Angeles County; California,125694,47590.0,0.3661,91,2726,2.8,18,967,1482,0,0,0,178,1304,06,037,103101,1.9,0.0,0.0,0.0,12.0,3.3,06037103101
Census Tract 1031.02; Los Angeles County; California,84750,39410.0,0.4464,382,4550,2.79,164,1631,2096,103,0,26,120,1976,06,037,103102,10.1,4.9,0.0,1.2,5.7,8.4,06037103102
Census Tract 1032.01; Los Angeles County; California,84281,40741.0,0.4986,434,4291,2.54,266,1577,2004,0,0,11,183,1821,06,037,103201,16.9,0.0,0.0,0.5,9.1,10.1,06037103201
Census Tract 1032.02; Los Angeles County; California,112491,47043.0,0.3606,46,2010,3.15,0,635,850,16,0,19,48,802,06,037,103202,0.0,1.9,0.0,2.2,5.6,2.3,06037103202
Census Tract 1033; Los Angeles County; California,133333,57228.0,0.4312,237,3816,3.07,60,1238,1595,0,9,0,396,1199,06,037,103300,4.8,0.0,0.6,0.0,24.8,6.2,06037103300
Census Tract 1034.01; Los Angeles County; California,96884,46558.0,0.4198,104,2391,2.48,11,960,1144,6,0,0,262,882,06,037,103401,1.1,0.5,0.0,0.0,22.9,4.3,06037103401
Census Tract 1034.02; Los Angeles County; California,113393,47819.0,0.3583,236,3829,2.8,34,1343,1956,32,0,0,406,1550,06,037,103402,2.5,1.6,0.0,0.0,20.8,6.2,06037103402
Census Tract 1041.03; Los Angeles County; California,107614,27435.0,0.3485,194,4281,4.79,15,865,1853,13,0,0,233,1620,06,037,104103,1.7,0.7,0.0,0.0,12.6,4.5,06037104103
Census Tract 1041.05; Los Angeles County; California,58897,19180.0,0.4086,1405,6195,3.87,73,1589,2329,109,0,33,170,2159,06,037,104105,4.6,4.7,0.0,1.4,7.3,22.7,06037104105
Census Tract 1041.08; Los Angeles County; California,62639,23653.0,0.4734,705,4962,3.91,171,1269,2101,99,0,13,131,1970,06,037,104108,13.5,4.7,0.0,0.6,6.2,14.2,06037104108
Census Tract 1041.24; Los Angeles County; California,76071,33860.0,0.467,481,4006,2.9,25,1310,1696,3,0,68,182,1514,06,037,104124,1.9,0.2,0.0,4.0,10.7,12.0,06037104124
Census Tract 1042.01; Los Angeles County; California,93726,27338.0,0.4918,529,4636,5.32,38,871,2044,68,0,63,115,1929,06,037,104201,4.4,3.3,0.0,3.1,5.6,11.4,06037104201
Census Tract 1042.03; Los Angeles County; California,65000,19001.0,0.4234,1047,5182,4.61,43,1124,2181,22,0,24,152,2029,06,037,104203,3.8,1.0,0.0,1.1,7.0,20.2,06037104203
Census Tract 1042.04; Los Angeles County; California,75179,21509.0,0.4242,426,3691,4.49,0,715,1423,21,0,0,56,1367,06,037,104204,0.0,1.5,0.0,0.0,3.9,11.5,06037104204
Census Tract 1043.10; Los Angeles County; California,87463,25673.0,0.3681,342,4392,4.74,12,927,2153,52,6,0,246,1907,06,037,104310,1.3,2.4,0.3,0.0,11.4,7.8,06037104310
Census Tract 1043.21; Los Angeles County; California,36649,18340.0,0.4071,662,2890,3.51,225,820,1117,31,0,7,45,1072,06,037,104321,27.4,2.8,0.0,0.6,4.0,22.9,06037104321
Census Tract 1043.22; Los Angeles County; California,72188,24449.0,0.3496,91,1787,3.96,34,445,862,58,0,25,100,762,06,037,104322,7.6,6.7,0.0,2.9,11.6,5.1,06037104322
Census Tract 1044.01; Los Angeles County; California,69306,19833.0,0.4114,694,2977,4.9,64,607,1244,48,0,40,26,1218,06,037,104401,10.5,3.9,0.0,3.2,2.1,23.3,06037104401
Census Tract 1044.03; Los Angeles County; California,89653,32989.0,0.5139,373,2352,4.38,39,537,1191,6,0,25,113,1078,06,037,104403,7.3,0.5,0.0,2.1,9.5,15.9,06037104403
